ID,Name,Owner,Controler,Religion,Culture
1282,Moray Firth,NONE,NONE,NONE,NONE
1283,North Channel,NONE,NONE,NONE,NONE
1284,Irish Sea,NONE,NONE,NONE,NONE
1285,St. George's Channel,NONE,NONE,NONE,NONE
1286,Donegal Bay,NONE,NONE,NONE,NONE
1287,Dingle Bay,NONE,NONE,NONE,NONE
1288,Celtic Sea,NONE,NONE,NONE,NONE
1289,Western Approaches,NONE,NONE,NONE,NONE
1290,Cape Finisterre,NONE,NONE,NONE,NONE
1291,Lusitanian Sea,NONE,NONE,NONE,NONE
1292,Gulf of Cadiz,NONE,NONE,NONE,NONE
1293,Straits of Gibraltar,NONE,NONE,NONE,NONE
1294,Gulf of Almeria,NONE,NONE,NONE,NONE
1295,Gulf of Valencia,NONE,NONE,NONE,NONE
1296,Gulf of Lion,NONE,NONE,NONE,NONE
1297,Cote D'Azur,NONE,NONE,NONE,NONE
1298,Ligurian Sea,NONE,NONE,NONE,NONE
1299,Coast of the Faeroes,NONE,NONE,NONE,NONE
1300,Western Mediterranean,NONE,NONE,NONE,NONE
1301,Barbary Coast,NONE,NONE,NONE,NONE
1302,Cape Bon,NONE,NONE,NONE,NONE
1303,Tyrrenean Sea,NONE,NONE,NONE,NONE
1304,Bay of Napoli,NONE,NONE,NONE,NONE
1305,Gulf of Gabes,NONE,NONE,NONE,NONE
1306,Sao Tome,POR,POR,catholic,portugese
1307,Straits of Messina,NONE,NONE,NONE,NONE
1308,Gulf of Venice,NONE,NONE,NONE,NONE
1309,Adriatic Sea,NONE,NONE,NONE,NONE
1310,Straits of Otranto,NONE,NONE,NONE,NONE
1311,Gulf of Taranto,NONE,NONE,NONE,NONE
1312,Ionian Sea,NONE,NONE,NONE,NONE
1313,Gulf of Sirte,NONE,NONE,NONE,NONE
1314,Gulf of Bomba,NONE,NONE,NONE,NONE
1315,Bay of Alexandria,NONE,NONE,NONE,NONE
1316,Palestinian Coast,NONE,NONE,NONE,NONE
1317,Gulf of Cyprus,NONE,NONE,NONE,NONE
1318,Spiš,RUM,RUM,catholic,slovak
